Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
44,No,Travel_Rarely,Sales,1,5,1,68,Female,Sales Executive,1,Divorced,5454,Y,21,4,3,80,9,2,4,1,3
35,No,Non-Travel,Research & Development,11,2,1,70,Male,Healthcare Representative,1,Married,9884,Y,13,3,3,80,10,3,4,2,3
26,No,Travel_Rarely,Sales,23,3,1,72,Female,Sales Executive,4,Married,4157,Y,19,3,3,80,5,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,1,73,Female,Research Director,4,Single,13458,Y,12,3,3,80,15,3,15,8,12
35,No,Travel_Frequently,Sales,18,5,1,74,Male,Sales Executive,1,Married,9069,Y,22,4,4,80,9,2,9,1,8
35,No,Travel_Rarely,Research & Development,23,4,1,75,Female,Laboratory Technician,1,Married,4014,Y,15,3,3,80,4,3,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,1,76,Male,Laboratory Technician,4,Divorced,5915,Y,22,4,4,80,10,2,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,1,77,Male,Manufacturing Director,3,Divorced,5993,Y,18,3,3,80,7,4,7,0,7
32,No,Travel_Rarely,Research & Development,1,3,1,78,Male,Manufacturing Director,4,Married,6162,Y,22,4,2,80,9,3,9,7,8
38,No,Travel_Frequently,Research & Development,29,5,1,79,Female,Laboratory Technician,4,Single,2406,Y,11,3,4,80,10,3,10,9,9
50,No,Travel_Rarely,Research & Development,7,2,1,80,Female,Research Director,3,Divorced,18740,Y,12,3,4,80,29,2,27,13,8
59,No,Travel_Rarely,Sales,25,3,1,81,Female,Sales Executive,1,Single,7637,Y,11,3,4,80,28,2,21,7,9
36,No,Travel_Rarely,Research & Development,8,3,1,83,Female,Healthcare Representative,3,Divorced,10096,Y,13,3,2,80,17,3,17,12,8
55,No,Travel_Rarely,Research & Development,8,3,1,84,Female,Manager,3,Divorced,14756,Y,14,3,3,80,21,3,5,0,2
36,No,Travel_Frequently,Research & Development,11,3,1,85,Male,Manufacturing Director,2,Single,6499,Y,13,3,3,80,6,3,6,0,3
45,No,Travel_Rarely,Research & Development,7,3,1,86,Male,Research Scientist,1,Divorced,9724,Y,17,3,3,80,25,3,1,0,0
35,No,Travel_Frequently,Research & Development,1,3,1,88,Male,Research Scientist,1,Married,2194,Y,13,3,4,80,5,2,3,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,1,90,Male,Research Scientist,3,Married,3388,Y,17,3,1,80,2,2,1,0,0
59,No,Travel_Frequently,Sales,1,1,1,91,Female,Sales Executive,3,Single,5473,Y,11,3,4,80,20,2,4,1,3
29,No,Travel_Rarely,Research & Development,2,3,1,94,Male,Research Scientist,2,Married,2703,Y,23,4,4,80,6,3,5,0,4
31,No,Travel_Rarely,Research & Development,1,4,1,95,Male,Research Scientist,2,Single,2501,Y,17,3,2,80,1,3,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,1,96,Male,Research Scientist,2,Married,6220,Y,17,3,2,80,10,3,10,0,9
36,No,Travel_Rarely,Research & Development,6,3,1,97,Female,Laboratory Technician,4,Married,3038,Y,12,3,2,80,5,3,1,0,0
31,No,Travel_Rarely,Research & Development,8,4,1,98,Female,Manufacturing Director,4,Single,4424,Y,23,4,4,80,11,3,11,1,8
35,No,Travel_Rarely,Sales,1,4,1,100,Male,Sales Executive,1,Single,4312,Y,14,3,2,80,16,3,15,2,8
45,No,Travel_Rarely,Research & Development,6,4,1,101,Male,Research Director,1,Married,13245,Y,14,3,2,80,17,4,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,1,102,Male,Research Director,3,Single,13664,Y,13,3,1,80,16,4,5,0,2
46,No,Travel_Rarely,Human Resources,5,2,1,103,Male,Human Resources,2,Divorced,5021,Y,22,4,4,80,16,3,4,0,2
30,No,Travel_Rarely,Research & Development,1,1,1,104,Male,Laboratory Technician,4,Married,5126,Y,12,3,3,80,10,2,10,3,0
35,No,Travel_Rarely,Research & Development,1,3,1,105,Male,Research Scientist,3,Single,2859,Y,18,3,1,80,6,3,6,0,4
55,No,Travel_Rarely,Sales,1,2,1,106,Male,Sales Executive,4,Married,10239,Y,14,3,4,80,24,3,1,1,0
38,No,Non-Travel,Research & Development,6,3,1,107,Female,Research Scientist,4,Divorced,5329,Y,12,3,4,80,17,3,13,1,9
34,No,Travel_Rarely,Research & Development,1,2,1,110,Male,Manufacturing Director,2,Married,4325,Y,15,3,3,80,5,3,5,1,3
56,No,Travel_Rarely,Research & Development,7,3,1,112,Male,Manufacturing Director,4,Single,7260,Y,11,3,1,80,37,2,6,0,2
23,No,Travel_Rarely,Sales,2,1,1,113,Male,Sales Representative,1,Divorced,2322,Y,13,3,3,80,3,3,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,1,116,Male,Laboratory Technician,4,Married,2075,Y,23,4,2,80,10,3,4,0,3
30,No,Travel_Rarely,Research & Development,2,3,1,117,Male,Healthcare Representative,4,Married,4152,Y,19,3,1,80,11,3,11,10,8
46,Yes,Travel_Rarely,Sales,9,2,1,118,Male,Sales Executive,4,Single,9619,Y,16,3,4,80,9,3,9,4,7
40,No,Travel_Frequently,Research & Development,1,4,1,119,Male,Healthcare Representative,2,Married,13503,Y,22,4,4,80,22,2,22,11,11
51,No,Travel_Rarely,Sales,21,4,1,120,Male,Sales Executive,4,Single,5441,Y,22,4,4,80,11,1,10,1,0
30,No,Travel_Rarely,Sales,4,2,1,121,Female,Sales Executive,2,Divorced,5209,Y,12,3,2,80,11,2,11,2,7
46,No,Travel_Frequently,Research & Development,1,3,1,124,Male,Healthcare Representative,1,Married,10673,Y,13,3,3,80,21,2,10,9,5
32,No,Travel_Rarely,Sales,6,4,1,125,Male,Sales Executive,3,Single,5010,Y,16,3,1,80,12,3,11,5,7
54,No,Travel_Rarely,Research & Development,2,4,1,126,Female,Research Director,3,Married,13549,Y,12,3,1,80,16,1,4,0,3
24,No,Travel_Rarely,Sales,3,2,1,128,Female,Sales Executive,3,Married,4999,Y,21,4,1,80,4,2,3,0,2
28,No,Non-Travel,Sales,4,3,1,129,Male,Sales Executive,3,Married,4221,Y,15,3,2,80,5,4,5,0,4
58,No,Travel_Rarely,Sales,10,4,1,131,Male,Sales Executive,3,Single,13872,Y,13,3,3,80,38,2,37,1,8
44,No,Non-Travel,Research & Development,23,3,1,132,Male,Laboratory Technician,2,Married,2042,Y,12,3,3,80,17,4,3,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,1,133,Male,Human Resources,1,Divorced,2073,Y,22,4,4,80,7,3,3,0,2
32,No,Travel_Rarely,Research & Development,1,1,1,134,Male,Research Scientist,1,Single,2956,Y,13,3,4,80,1,3,1,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,1,137,Female,Laboratory Technician,4,Single,2926,Y,18,3,2,80,1,3,1,1,0
34,No,Travel_Rarely,Research & Development,6,4,1,138,Female,Research Scientist,3,Single,4809,Y,14,3,3,80,16,3,16,2,10
37,No,Non-Travel,Research & Development,2,2,1,139,Male,Healthcare Representative,4,Divorced,5163,Y,14,3,4,80,17,4,1,0,0
59,No,Non-Travel,Human Resources,2,4,1,140,Female,Manager,4,Married,18844,Y,21,4,4,80,30,3,3,2,2
50,No,Travel_Frequently,Research & Development,1,3,1,141,Female,Research Director,2,Married,18172,Y,19,3,1,80,28,2,8,0,7
25,Yes,Travel_Rarely,Sales,5,3,1,142,Male,Sales Executive,3,Single,5744,Y,11,3,4,80,6,3,6,0,3
25,No,Travel_Rarely,Research & Development,7,1,1,143,Male,Research Scientist,4,Married,2889,Y,11,3,3,80,2,3,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,1,144,Female,Laboratory Technician,4,Single,2871,Y,15,3,3,80,1,3,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,1,145,Female,Healthcare Representative,1,Single,7484,Y,20,4,3,80,23,2,13,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,1,147,Male,Laboratory Technician,3,Single,6074,Y,24,4,4,80,9,3,9,0,6
54,No,Non-Travel,Human Resources,26,3,1,148,Female,Manager,4,Single,17328,Y,12,3,3,80,23,3,5,4,4
24,No,Travel_Rarely,Research & Development,18,1,1,150,Male,Laboratory Technician,3,Married,2774,Y,12,3,3,80,6,3,5,1,2
34,No,Travel_Rarely,Research & Development,6,4,1,151,Female,Research Scientist,2,Divorced,4505,Y,15,3,3,80,12,3,1,0,0
37,No,Travel_Rarely,Sales,3,3,1,152,Male,Sales Executive,4,Single,7428,Y,12,3,1,80,12,3,5,1,3
34,No,Travel_Rarely,Research & Development,5,3,1,153,Female,Manager,1,Single,11631,Y,12,3,4,80,14,3,11,5,8
36,No,Travel_Frequently,Sales,11,2,1,154,Female,Sales Executive,4,Married,9738,Y,14,3,3,80,10,3,9,2,8
36,No,Travel_Rarely,Research & Development,3,2,1,155,Female,Laboratory Technician,4,Divorced,2835,Y,22,4,1,80,7,3,1,0,0
43,No,Travel_Frequently,Sales,26,2,1,158,Male,Manager,4,Married,16959,Y,12,3,4,80,25,4,25,4,12
30,No,Travel_Frequently,Research & Development,23,3,1,159,Male,Research Scientist,3,Divorced,2613,Y,25,4,3,80,10,2,10,0,9
33,No,Non-Travel,Sales,22,2,1,160,Male,Sales Executive,2,Married,6146,Y,13,3,1,80,8,4,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,1,161,Female,Research Scientist,2,Married,4963,Y,18,3,1,80,7,3,5,4,3
51,No,Travel_Rarely,Research & Development,6,3,1,162,Male,Research Director,3,Single,19537,Y,13,3,3,80,23,3,20,15,15
31,Yes,Travel_Rarely,Sales,6,4,1,163,Male,Sales Executive,3,Married,6172,Y,18,3,2,80,12,2,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,1,164,Female,Research Scientist,2,Married,2368,Y,19,3,3,80,5,2,5,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,1,165,Female,Healthcare Representative,4,Married,10312,Y,12,3,4,80,40,2,40,15,6
19,Yes,Travel_Rarely,Sales,22,1,1,167,Male,Sales Representative,3,Single,1675,Y,19,3,4,80,0,2,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,1,169,Male,Laboratory Technician,4,Married,2523,Y,14,3,3,80,3,3,2,2,1
49,No,Travel_Rarely,Research & Development,20,4,1,170,Female,Manufacturing Director,1,Married,6567,Y,14,3,3,80,16,2,15,5,11
43,No,Travel_Frequently,Research & Development,28,3,1,171,Female,Research Scientist,3,Single,4739,Y,12,3,4,80,18,3,3,1,2
50,No,Travel_Frequently,Sales,12,3,1,174,Female,Sales Executive,4,Single,9208,Y,11,3,4,80,16,3,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,1,175,Female,Sales Executive,3,Married,4559,Y,11,3,3,80,4,3,2,2,2
41,No,Travel_Rarely,Sales,9,1,1,176,Male,Sales Executive,3,Divorced,8189,Y,13,3,3,80,12,3,9,0,7
26,No,Travel_Rarely,Human Resources,25,1,1,177,Female,Human Resources,3,Married,2942,Y,23,4,4,80,8,3,8,5,7
36,No,Travel_Rarely,Research & Development,6,2,1,178,Male,Manufacturing Director,2,Divorced,4941,Y,20,4,4,80,7,3,3,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,1,179,Male,Manufacturing Director,4,Single,10650,Y,15,3,4,80,18,3,4,0,3
39,No,Travel_Rarely,Sales,4,4,1,182,Female,Sales Executive,3,Married,5902,Y,14,3,3,80,17,4,15,5,9
25,No,Travel_Rarely,Sales,28,3,1,183,Male,Sales Executive,3,Married,8639,Y,18,3,4,80,6,3,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,1,184,Male,Human Resources,4,Married,6347,Y,19,3,4,80,12,1,11,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,1,190,Female,Laboratory Technician,1,Single,4200,Y,22,4,1,80,10,4,5,0,4
45,No,Travel_Rarely,Research & Development,29,3,1,192,Male,Research Scientist,4,Single,3452,Y,13,3,2,80,9,2,6,0,3
38,No,Travel_Rarely,Research & Development,3,5,1,193,Female,Research Scientist,3,Single,4317,Y,20,4,2,80,19,3,3,2,2
30,No,Travel_Rarely,Research & Development,18,3,1,194,Female,Research Scientist,3,Single,2632,Y,14,3,3,80,5,2,5,0,4
32,No,Travel_Frequently,Sales,9,2,1,195,Male,Sales Executive,4,Divorced,4668,Y,17,3,4,80,9,4,8,0,7
30,No,Travel_Rarely,Research & Development,5,3,1,197,Female,Research Scientist,1,Divorced,3204,Y,14,3,4,80,8,3,3,2,2
30,No,Travel_Rarely,Research & Development,2,1,1,198,Male,Laboratory Technician,4,Single,2720,Y,13,3,4,80,6,3,5,1,2
41,No,Travel_Frequently,Research & Development,10,3,1,199,Male,Manager,1,Divorced,17181,Y,13,3,2,80,21,2,7,7,7
41,No,Travel_Rarely,Research & Development,9,4,1,200,Male,Laboratory Technician,1,Married,2238,Y,21,4,4,80,7,3,5,1,4
19,No,Travel_Rarely,Research & Development,3,1,1,201,Female,Laboratory Technician,2,Single,1483,Y,14,3,4,80,1,3,1,0,0
40,No,Travel_Frequently,Research & Development,26,3,1,202,Female,Research Scientist,2,Divorced,5605,Y,11,3,1,80,20,3,20,2,13
35,No,Travel_Rarely,Sales,1,5,1,204,Male,Sales Executive,2,Married,7295,Y,13,3,1,80,10,3,10,0,6
53,No,Travel_Rarely,Sales,6,2,1,205,Male,Sales Representative,3,Married,2306,Y,20,4,4,80,13,1,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,1,206,Male,Laboratory Technician,2,Divorced,2348,Y,18,3,3,80,20,1,17,0,15
32,No,Travel_Frequently,Sales,8,3,1,207,Female,Sales Executive,4,Single,8998,Y,14,3,4,80,9,3,9,3,7
29,No,Non-Travel,Research & Development,1,1,1,208,Male,Manufacturing Director,3,Married,4319,Y,13,3,1,80,10,3,10,0,9
51,No,Travel_Rarely,Research & Development,7,4,1,211,Male,Manufacturing Director,3,Married,6132,Y,17,3,3,80,10,3,1,0,0
58,No,Travel_Rarely,Research & Development,9,3,1,214,Female,Research Scientist,2,Married,3346,Y,20,4,2,80,9,2,1,0,0
40,No,Travel_Rarely,Sales,4,4,1,215,Male,Sales Executive,4,Married,10855,Y,11,3,1,80,15,2,12,2,11
34,No,Travel_Frequently,Sales,2,4,1,216,Female,Sales Representative,3,Married,2231,Y,18,3,4,80,6,3,4,1,2
22,No,Travel_Rarely,Research & Development,19,1,1,217,Male,Research Scientist,4,Married,2323,Y,24,4,1,80,2,3,2,2,2
27,No,Non-Travel,Research & Development,9,3,1,218,Male,Research Scientist,2,Divorced,2024,Y,18,3,4,80,6,1,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,1,221,Male,Research Scientist,4,Married,2713,Y,11,3,3,80,5,1,5,0,2
57,No,Travel_Rarely,Research & Development,24,2,1,223,Male,Healthcare Representative,4,Divorced,9439,Y,16,3,2,80,12,1,5,1,4
27,No,Non-Travel,Research & Development,3,3,1,224,Male,Research Scientist,3,Divorced,2566,Y,15,3,4,80,1,2,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,1,226,Female,Manager,2,Single,19926,Y,15,3,2,80,21,3,5,4,4
41,No,Travel_Rarely,Research & Development,14,3,1,227,Male,Research Scientist,3,Divorced,2451,Y,12,3,1,80,13,3,9,1,8
30,No,Travel_Rarely,Sales,5,3,1,228,Female,Sales Executive,4,Married,9419,Y,12,3,3,80,12,3,10,7,4
38,No,Travel_Rarely,Sales,1,4,1,230,Female,Sales Executive,4,Single,8686,Y,22,4,3,80,12,4,8,0,7
32,No,Travel_Rarely,Research & Development,6,5,1,231,Male,Research Scientist,3,Single,3038,Y,20,4,1,80,8,3,5,1,4
27,No,Travel_Rarely,Research & Development,17,3,1,233,Male,Research Scientist,2,Married,3058,Y,16,3,4,80,6,2,5,1,1
19,Yes,Travel_Frequently,Sales,1,1,1,235,Female,Sales Representative,1,Single,2325,Y,21,4,1,80,1,4,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,1,238,Male,Laboratory Technician,2,Single,2088,Y,12,3,3,80,13,2,8,7,2
30,No,Non-Travel,Research & Development,9,3,1,239,Male,Laboratory Technician,1,Divorced,3072,Y,11,3,3,80,12,3,12,6,10
45,No,Travel_Rarely,Sales,4,2,1,240,Female,Sales Executive,1,Divorced,5006,Y,11,3,1,80,9,4,5,0,3
56,No,Travel_Rarely,Research & Development,8,3,1,241,Female,Research Scientist,1,Divorced,4257,Y,18,3,3,80,19,3,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,1,242,Male,Research Scientist,4,Single,2500,Y,14,3,1,80,4,4,3,0,2
19,Yes,Travel_Rarely,Research & Development,2,3,1,243,Male,Laboratory Technician,4,Single,1102,Y,22,4,3,80,1,2,1,1,0
46,No,Travel_Rarely,Sales,1,2,1,244,Female,Sales Executive,1,Divorced,10453,Y,25,4,3,80,24,3,24,15,7
38,No,Travel_Rarely,Research & Development,9,2,1,245,Female,Laboratory Technician,4,Single,2288,Y,12,3,3,80,2,3,2,2,1
31,No,Travel_Rarely,Research & Development,12,1,1,246,Female,Research Scientist,4,Married,3929,Y,23,4,3,80,7,3,4,0,2
34,No,Travel_Rarely,Research & Development,27,2,1,247,Female,Research Scientist,2,Single,2311,Y,15,3,4,80,9,3,3,1,2
41,Yes,Travel_Rarely,Sales,20,2,1,248,Female,Sales Representative,2,Single,3140,Y,22,4,4,80,4,2,4,0,2
50,No,Travel_Rarely,Research & Development,1,3,1,249,Male,Laboratory Technician,3,Married,3690,Y,15,3,4,80,5,2,3,0,2
53,No,Travel_Rarely,Research & Development,13,2,1,250,Female,Manufacturing Director,1,Divorced,4450,Y,11,3,3,80,5,3,4,1,3
33,No,Travel_Rarely,Research & Development,14,3,1,252,Female,Research Scientist,2,Married,2756,Y,13,3,4,80,8,3,8,1,6
40,No,Travel_Rarely,Research & Development,4,1,1,253,Female,Manager,3,Married,19033,Y,14,3,2,80,21,3,20,9,9
55,No,Travel_Rarely,Research & Development,14,4,1,254,Male,Research Director,2,Single,18722,Y,11,3,4,80,36,3,24,2,15
34,No,Travel_Frequently,Research & Development,2,1,1,256,Male,Manufacturing Director,3,Married,9547,Y,17,3,3,80,10,2,10,1,9
51,No,Travel_Rarely,Research & Development,3,3,1,258,Female,Healthcare Representative,2,Single,13734,Y,18,3,3,80,21,3,7,1,0
52,No,Travel_Rarely,Research & Development,1,4,1,259,Male,Manager,3,Married,19999,Y,14,3,1,80,34,3,33,11,9
27,No,Travel_Rarely,Research & Development,9,3,1,260,Female,Research Scientist,2,Single,2279,Y,16,3,4,80,7,2,7,0,3
35,Yes,Travel_Rarely,Research & Development,23,2,1,261,Male,Manufacturing Director,3,Married,5916,Y,13,3,1,80,8,3,1,0,1
43,No,Non-Travel,Research & Development,7,3,1,262,Male,Research Scientist,4,Divorced,2089,Y,14,3,4,80,7,4,5,2,2
45,No,Non-Travel,Research & Development,2,2,1,264,Male,Manager,4,Married,16792,Y,23,4,4,80,22,3,20,11,8
37,No,Travel_Rarely,Research & Development,21,3,1,267,Male,Research Scientist,1,Married,3564,Y,12,3,1,80,8,2,8,1,7
35,No,Travel_Frequently,Research & Development,2,3,1,269,Female,Laboratory Technician,2,Single,4425,Y,11,3,4,80,10,3,6,1,2
42,No,Non-Travel,Research & Development,21,2,1,270,Female,Manufacturing Director,3,Divorced,5265,Y,16,3,2,80,11,3,5,0,2
38,No,Travel_Rarely,Research & Development,2,4,1,271,Male,Manufacturing Director,3,Married,6553,Y,14,3,2,80,14,3,1,0,0
38,No,Travel_Rarely,Research & Development,29,3,1,273,Male,Manufacturing Director,4,Married,6261,Y,18,3,1,80,9,1,7,1,7
27,No,Travel_Frequently,Research & Development,1,1,1,274,Male,Manufacturing Director,1,Married,4298,Y,19,3,3,80,6,3,2,2,0
49,No,Non-Travel,Research & Development,18,4,1,275,Male,Manufacturing Director,4,Divorced,6804,Y,15,3,1,80,7,3,7,1,7
34,No,Travel_Frequently,Research & Development,10,4,1,277,Male,Research Scientist,3,Divorced,3815,Y,17,3,4,80,5,4,5,2,0
40,No,Travel_Rarely,Research & Development,19,2,1,281,Male,Laboratory Technician,4,Married,2741,Y,15,3,3,80,15,4,7,3,7
38,Yes,Travel_Rarely,Research & Development,29,1,1,282,Male,Healthcare Representative,1,Married,6673,Y,19,3,2,80,17,3,1,0,0
